consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
55,1,-1.4669999999999845,3,false,"","",false,1,1,3,25.691761817065682,53.48481276856967,73.6258195211786,63.76376918354815
dear [Dear] Geo [George Rofe] my Love is unto thee [you] in the truth where I desier [desire] in my harte [heart] to be kept in,2,-1.4669999999999845,3.28,true,"",Lukas_Kaiser,false,1,1,4,60.657213014119094,1080.03459791283,144.4532719459791,89.7637200736648
"Life & [and] power of god, that I may fullfill [fulfill] the will of the Lord in what soe [so] ever he calls mee [me]",3,-1.4669999999999845,3.625,true,"",Lukas_Kaiser,false,1,1,4,69.62271332105584,1083.6207980356046,173.14287292817676,119.34987108655615
unto as I hope I Shall whille [while] I abide abroade [abroad] in the nations & [and] bee [be] a good baner [banner] unto them,4,-1.4669999999999845,3.4,false,"","",false,1,1,4,63.34686310620012,1080.03459791283,200.03937384898708,152.52222222222218
"& [and] the bretheren [brethren]. whose unity is Life, things heard [here] Cheifely [chiefly] through holland are in good",5,-1.4669999999999845,3.388888888888889,true,"",Lukas_Kaiser,false,1,1,4,66.03651319828114,1080.9311479435235,223.34967464702268,173.14287292817676
"order, & [and] meetings are for the most part pretty quiett, [quiet] here is every first day a publique [public] meetinge [meeting]",6,-1.4669999999999845,3.4545454545454546,false,"","",false,1,1,4,66.93306322897482,1105.1379987722528,245.76342541436463,204.52212400245548
"at this house, wch [which] is neare [near] or aboute [about] 3 quarters of a mille [mile] out of Amsterdam, & [and] of Late there",7,-1.4669999999999845,3.36,true,"",Lukas_Kaiser,false,1,1,4,64.24341313689379,1083.6207980356046,268.17717618170656,232.31517495395946
hath [has] ^come^ Severall [several] greate [great] men & [and] gave bene [been] very quiet & [and] modderat [moderate]; & [and] the truth hath [has] a greater,8,-1.4669999999999845,3.6538461538461537,true,"",Lukas_Kaiser,false,1,1,5,62.45031307550644,1107.827648864334,299.5564272559852,261.0047759361571
"fame in this Contrie, [country] as it hath [has] had formerly, yett [yet] dare not much apeare [appear] openly to move it, and",9,-1.4669999999999845,3.4782608695652173,true,"",Lukas_Kaiser,false,1,1,4,60.657213014119094,1104.2414487415592,332.72877839165125,294.1771270718232
in other Citties [cities] and places where frinds [friends] are things are in Like manner as heare [here] amongest [amongst],10,-1.4669999999999845,3.4,false,"","",false,1,1,4,61.55376304481277,1111.4138489871086,358.72872928176787,317.4874278698587
"them well & [and] many Inquerers [inquirers] and some Lattely [lately] Convinced, who doth [do] apeare [appear] in owninge [owning] the",11,-1.4669999999999845,3.142857142857143,false,"","",false,1,1,4,59.76066298342542,1118.586249232658,385.6252302025782,353.3494290976058
"truth,[deletion] But Ann: G...ill doth send mischef[/deletion], for that man hath [has] entertained her againe [again], where",12,-1.4669999999999845,3.5294117647058822,true,"",Lukas_Kaiser,false,1,1,4,58.864112952731716,1093.4828483732351,408.9355310006138,386.5217802332719
"Shee [she] was before, & [and] [are?] & [and] his wife comes not amongest [amongst] frinds [friends], but rather speakes [speaks] evill [evil] of",13,-1.4669999999999845,3.0416666666666665,true,"",Lukas_Kaiser,false,1,1,4,58.864112952731716,1090.793198281154,439.4182320441988,421.4872314303253
