consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
and gave strict Charge yt [that] non [none] must Com [come] at us but only to bring in our victuels [victuals] and ye [the] keeper must hear,1,-0.0020000000000095497,2,false,"","",true,1,1,2,39.36519450843085,1149.438401212663,61.84100482743753,45.86325639445039
"what wee [we] say, and see yt [that] wee [we] doe [do] not write (though way is made for this Contrary to theyr [their]",2,-0.0020000000000095497,1.9583333333333333,false,"","",true,1,1,2,44.717031573081215,1130.000215277035,84.11020969823636,73.59384862227438
knowledg [knowledge]) And ye [the] prison wee [are] Consigned to doth [does] not Aford [afford] us the benifite [benefit] of a,3,-0.0020000000000095497,1.9047619047619047,false,"","",true,1,1,2,48.2224353422759,1143.3206148084348,112.85473028136187,114.95800249655429
"Chinny [?], nor A hous [house] of ofice [office], which is som [some] Anoyance [annoyance], but ye [the] powre power of ye [the] lord god",4,-0.0020000000000095497,1.84,false,"","",true,1,1,2,51.48933284036451,1121.4756993237854,144.24799347731155,142.65814509311932
"almighty is above it all, and over all, in which wee [we] are well Content, and",5,-0.0020000000000095497,2,false,"","",true,1,1,2,53.87413725734845,1123.8606098764212,179.22527351632198,180.0202295491137
"are at peace, and rest, and this prison is to mee [me] as A paloss [palace] of plesure [pleasure], for",6,-0.0020000000000095497,2,false,"","",true,1,1,2,53.87413725734845,1112.731480142902,215.79238071239428,212.61264148974902
"though wee [we] are as haveing [having] nothing, yeat [yet] possesing [possessing] all things through him yt [that]",7,-0.0020000000000095497,2,false,"","",true,1,1,2,49.10454965051093,1126.2454355205355,249.17973276547355,249.17973276547355
"hath [has] loved us, and gave him selfe [himself] for us, by whos [whose] bloud [blood] we are ransomed to",8,-0.0020000000000095497,1.95,false,"","",true,1,1,2,60.370774476520864,1123.135345205378,288.71182480686,279.65414747918817
"serve ye [the] lord in ye [the] New Covenant of life forever, Glory be unto the Lord",9,-0.0020000000000095497,2,false,"","",true,1,1,2,62.63515853640328,1133.7026051878217,327.96163644131354,324.1876092603125
"god almighty forever, ~ And Now deare [dear] Gerge [George Fox], [deletion]O[/deletion] What they may be",10,-0.0020000000000095497,2,true,"",Lukas_Kaiser,true,1,1,2,67.16398712251478,1114.0775671004617,360.41823794920435,358.90861498353456
